drug_code,interactions
60568235,66286011;68056062;61823354;69364999;63173930;66004451;61871331;63594630;67627711;64360751;67716786;63644827;61975465;65896314;61540502;69784280;69854405;62448875;60894334;67173874;68352264;61986853;61493903;68728154;62403531;69641873;67088865;61266250;60568235;65476666;61876780;68401067;60357359;65329132;65734134;60599533;61792923;63744998;69584479;65135519;67100659;65532702;60323481;66500636;65198099;65449480;69258501;66052179;67119257;67734275;64613845;68712716;66362555;69205527;69697199;64920036;61278936;63713650
60997882,66286011;63173930;66004451;60997882;62869109;67627711;61540502;61989835;66661714;61266250;65476666;68401067;61104024;69584479;65919752;66500636;62701346;68080800;67119257;66362555
62505828,62505828;61823354;61266250;63173930;60357359;67119257;67468312;68735825;62869109;69586398;69584479
61471344,66286011;67813445;63587319;61823354;63173930;63594630;62869109;67716786;61975465;64061788;61540502;62448875;63054335;64980414;62160702;62403531;69831794;69641873;61266250;61876780;66207619;68401067;63604430;67971897;60390455;60599533;65708755;69584479;61675902;61471344;63941294;69155138;66188581;60377116;65198099;67656403;62701346;67119257;66362555;69205527;64920036;61278936
64941258,67813445;66286011;61823354;63173930;62538618;66793609;65980246;69087107;62448875;68743715;67377300;69831794;69641873;61266250;65812106;68401067;67971897;64941258;60599533;69584479;67320609;67856966;61675902;69155138;67119257;68712716;63305905;69205527;61278936
69622809,67813445;61823354;63941294;69155138;61876780;69641873;63173930;69622809;65329132;67119257;62448875;63594630;66152667;69205527;69584479
69697199,66286011;68056062;61823354;65967124;62727889;63173930;68097237;66793609;69103878;63594630;63052416;62869109;67627711;67105161;67716786;64210260;61975465;64757532;68601712;62448875;65378663;68352264;62160702;61493903;69831794;63517694;61266250;61876780;69174918;60568235;67088865;68401067;65329132;65854062;64941258;62507697;60599533;61792923;67831952;63744998;69584479;60323481;69155138;60377116;64090291;67119257;63686057;68393478;63305905;69205527;69697199;68708664;61278936
60568235,66286011;68056062;61823354;69364999;63173930;66004451;61871331;63594630;67627711;64360751;67716786;63644827;61975465;65896314;61540502;69784280;69854405;62448875;60894334;67173874;68352264;61986853;68728154;62403531;69641873;61266250;65476666;60568235;61876780;67088865;68401067;60357359;65329132;65734134;60599533;61792923;63744998;69584479;65135519;67100659;65532702;60323481;66500636;65198099;65449480;69258501;66052179;67119257;67734275;64613845;68712716;66362555;69205527;69697199;64920036;61278936;63713650
69966450,66286011;67813445;61823354;68056062;63173930;67716786;61975465;64061788;62448875;63054335;64980414;62160702;69966450;69831794;69641873;61266250;66207619;68401067;63604430;60390455;60599533;65708755;67699931;69584479;65198099;66188581;69155138;67656403;62701346;67119257;68712716;66362555;69205527;61278936
67716786,64224801;61823354;65967124;63173930;67716786;62638974;62448875;61989835;66661714;62160702;61986853;69641873;61876780;61266250;65329132;67699931;63941294;66513085;68080800;67119257;66362555;69205527;60894334;61278936
61471344,66286011;67813445;63587319;61823354;63173930;63594630;62869109;67716786;61975465;64061788;61540502;62448875;63054335;64980414;62160702;62403531;69831794;69641873;61266250;61876780;66207619;68401067;63604430;67971897;60390455;60599533;65708755;69584479;61675902;61471344;63941294;69155138;66188581;60377116;65198099;67656403;62701346;67119257;66362555;69205527;64920036;61278936
67351818,64623818;62403531;68909069;63517694;63173930;66004451;60568235;67119257;67351818;63744998;60894334
61707499,65329132;69641873
60894334,66286011;67813445;61823354;66004451;63173930;68514951;65545105;63594630;61278936;64061788;61540502;62448875;64512668;69831794;69641873;61266250;61876780;68401067;65329132;60599533;69584479;66188581;63941294;69155138;68066715;62701346;67119257;69205527;60894334;64920036;66782153
63755329,66286011;66004451;63173930;62869109;61740691;67105161;61975465;69536826;63755329;68954751;66835549;62368639;62160702;61493903;69831794;61876780;61266250;65476666;60568235;65812106;68401067;64941258;60599533;65512856;63744998;60030980;62701346;67119257;63686057;61214830;69205527;62484138
69422609,67813445;66286011;61823354;63173930;67466119;62854032;69024085;60815657;62869109;67105161;69784280;62448875;69641873;61266250;65476666;66782153;68468614;60357359;65329132;60390455;60599533;69584479;67119257;69422609;69205527;61278936
60352006,66286011;61823354;69594548;63173930;66793609;67627711;65980246;61540502;60352006;62448875;62160702;69968095;69641873;68401067;65329132;69584479;69155138;66513085;68080800;67119257;66362555;68045361;61278936
68748491,66286011;68056062;61823354;69594548;64623818;63173930;66004451;66793609;67627711;62158320;60244525;69536826;65980246;61540502;65378663;69784280;65461618;61124589;69355498;61266250;61876780;60568235;67423452;68401067;66246173;60599533;60010166;61104024;64201553;68748491;69584479;65135519;63941294;69155138;66513085;68080800;67119257;68712716;66362555;69205527;68045361
68320252,62824288;67716786;68320252;60853152;61876780;63173930;61266250;69155138;65980246;67119257;68257528;68601712;62756524;69205527;69584479
67164569,64623818;62403531;63173930;65476666;66004451;67119257;67351818;66442955;67164569;63744998;60894334
67105161,67813445;66286011;61823354;63173930;62869109;67105161;61740691;69536826;63784708;62448875;62368639;68352264;62160702;69831794;61266250;69641873;65476666;67088865;68401067;65329132;64941258;60599533;65512856;63744998;60030980;69584479;62701346;67119257;63686057;61214830;69205527
61706205,66286011;61823354;60196977;66004451;63173930;65683309;63202499;67716786;61706205;61540502;68601712;62448875;66315349;60853152;69641873;61266250;61954108;68401067;60357359;65329132;68735825;64077212;63744998;69584479;65919752;67119257;63686057;67734275;69205527;61278936
65545895,60215623;67813445;61493903;61823354;62403531;69641873;60812344;60990140;68053454;65980246;65545895;67119257;65329132;62448875;69205527;60894334;69584479
